5 1 100 2 0.00000001
1.01702	0	12.8	5	4.7	4
1.375	10.9	10.6	2.8	4.5	1
1.36603	0.8	11.7	7.2	2.3	1
0.99138	20.3	12.2	5.6	4.7	1
0.366025	1.3	8.9	2.8	6.1	1
-0.377737	2.5	4.4	2.2	2.2	1
-1	0	7.2	2.8	2.3	1
-1.36912	0	10	2.8	2	2
-1.35954	4.3	9.4	5	3.4	1
-0.99138	1	6.1	0.6	3.4	1
-0.342522	0	6.1	-1.1	5.1	2
0.377737	0	6.1	-1.7	1.9	2
1.01702	0	5	-2.8	1.3	2
-1.40733	4.1	4.4	0.6	5.3	3
0.956174	5.3	1.1	-3.3	3.2	3
0.680664	2.5	1.7	-2.8	5	3
-1.38047	8.1	3.3	0	5.6	3
1.22777	19.8	0	-2.8	5	3
-0.175562	15.2	-1.1	-2.8	1.6	3
-0.947195	13.5	7.2	-1.1	2.3	3
0.965083	3	8.3	3.3	8.2	1
0.982686	6.1	6.7	2.2	4.8	1
-1.09752	0	8.3	1.1	3.6	1
-1.36283	8.6	10	2.2	5.1	1
-1.36912	8.1	8.9	4.4	5.4	1
1.36912	4.8	8.9	1.1	4.8	1
-1.40473	0	6.7	-2.2	1.4	4
-1.40473	0	6.7	0.6	2.2	1
-1.40733	27.7	9.4	3.9	4.5	1
-1.41128	3.6	8.3	6.1	5.1	1
1.03374	1.8	9.4	6.1	3.9	1
1.03374	13.5	8.9	3.3	2.7	1
1.38047	0	8.3	1.7	2.6	2
1.35954	0	14.4	2.2	5.3	2
0.973921	0	15.6	5	4.3	2
0.342522	0	13.9	1.7	2.9	2
-0.401076	0	16.1	1.7	5	2
-1.01702	0.3	15.6	7.8	5.3	1
-1.375	2.8	10	5	2.7	1
-1.35266	2.5	11.1	7.8	2.4	1
-0.973921	2.5	12.8	6.7	3	1
-0.318917	0.8	8.9	5.6	3.4	1
0.401076	1	8.3	5	1.3	1
1.03374	11.4	7.2	4.4	1.4	1
-1.40951	2.5	6.7	1.1	3.1	1
0.938146	0	7.2	0.6	1.8	4
0.659284	1.8	7.2	3.3	2.1	1
-1.3902	17.3	10	4.4	3.4	1
1.20295	6.4	6.7	3.9	8.1	1
-0.127287	0	6.7	2.2	4.7	2
-0.982686	3	7.8	1.7	2.9	1
1	0.8	10	7.8	7.5	1
1.03374	8.6	10	2.8	5.9	1
-1.14198	0	8.3	2.8	3.9	2
